__token__,__occurence__
langues,29
naquirent,14
d'Héber,2
aîné,9
Elam,15
Arphaxad,9
Lud,3
Aram,8
d'Aram,4
Us,1
Hul,2
Géther,2
Mes,70
Salé,10
Héber,25
Phaleg,8
partagée,3
Jectan,6
Elmodad,2
Saleph,2
Asarmoth,2
Jaré,2
Aduram,7
Uzal,1
Décla,2
Ebal,4
Abimaël,2
Ophir,5
Jobab,9
ceux-là,33
habitèrent,13
montagne,369
d'Orient,6
partir,70
Mésa,3
Séphar,1
Telles,26
sorties,4
répandues,2
mêmes,53
mots,16
Etant,29
partis,27
trouvèrent,33
plaine,55
s'y,118
établirent,16
dirent,363
faisons,16
briques,13
cuisons-les,1
feu.,2
servirent,14
pierres,174
ciment,2
bâtissons-nous,1
tour,82
sommet,70
faisons-nous,1
monument,18
soyons,21
descendit,78
bâtissaient,12
peuple,1765
ont,878
ouvrage,45
entreprises,8
maintenant,318
rien,430
empêchera,1
d'accomplir,11
projets,19
descendons,2
confondons,1
langage,35
sorte,147
n'entendent,10
uns,131
autres.,1
dispersa,7
cessèrent,5
confondit,3
trente-cinq,7
trente-quatre,1
Réü,5
trente-deux,15
Sarug,5
Nachor,18
vingt-neuf,6
Tharé,14
dix-neuf,3
Abram,58
Aran,7
Lot,35
présence,106
naissance,32
Ur,1
Chaldée,10
d'Abram,9
Saraï,17
Melcha,11
fille,338
d'Aran,2
Jesca,1
stérile,28
d'enfants,16
petit-fils,2
belle-fille,12
ensemble,125
d'Ur,4
Chaldéens,67
aller,179
arrivés,43
Haran,12
Va-t-en,1
famille,215
montrerai,16
nation,129
bénirai,11
rendrai,43
bénédiction,58
béniront,2
maudira,7
bénies,8
partit,73
soixante-quinze,8
biens,121
possédaient,5
partirent,85
arrivèrent,49
traversa,7
nommé,58
Sichem,67
chêne,10
Moré,3
apparut,35
donnerai,127
postérité.,3
apparu,20
passa,56
Béthel,71
dressa,22
couchant,13
Haï,22
Là,53
invoqua,11
s'avança,21
campement,8
Midi,8
famine,92
Egypte,119
séjourner,7
d'entrer,21
belle,47
Egyptiens,81
verront,38
diront,43
tueront,4
laisseront,8
Dis,29
donc,774
sois,131
traité,32
qu'on,359
laisse,40
égard,55
arrivé,85
fort,89
Pharaon,276
vantèrent,1
emmenée,2
traita,9
reçut,20
boeufs,110
ânes,44
servantes,37
ânesses,17
chameaux,46
frappa,112
grandes,111
plaies,23
Qu'est-ce,30
m'as,90
m'as-tu,16
déclaré,30
prends-la,5
va-t'en,6
ordres,57
gens,354
renvoyèrent,7
appartenait,13
remonta,8
d'Égypte,61
riche,65
argent,85
or,69
première,70
dressé,22
l'endroit,22
précédemment,5
élevé,82
voyageait,1
contrée,23
suffisait,1
habiter,61
considérables,5
pussent,2
demeurer,23
querelle,17
bergers,30
Phérézéens,19
établis,37
prie,120
débat,3
ni,878
sommes,200
n'est-il,53
Sépare-toi,1
vas,30
gauche,75
prendrai,27
droite,218
gauche.,3
levant,39
Jourdain,195
entièrement,34
arrosée,3
c'était,105
avant,191
eût,44
Tsoar,1
choisit,14
séparèrent,3
l'autre,289
habitait,34
villes,510
mauvais,73
pécheurs,47
séparé,6
Lève,9
regarde,67
septentrion,68
midi,96
vois,81
nombreuse,22
peut,157
compter,27
comptera,7
Lève-toi,83
parcours,1
long,49
large,27
donnerai.,2
leva,161
chênes,8
Mambré,10
Hébron,55
d'Amraphel,1
roi,2203
d'Arioch,1
d'Ellasar,2
Chodorlahomor,5
d'Elam,12
Thadal,2
Goïm,2
arriva,103
guerre,209
Bara,2
Bersa,1
Sennaab,1
d'Adama,3
Séméber,1
Bala,16
Ségor,8
derniers,41
s'assemblèrent,18
vallée,117
Siddim,3
Salée,10
soumis,34
treizième,5
année,197
s'étaient,61
révoltés,7
quatorzième,19
marche,136
rois,312
battirent,27
Réphaïm,3
Astaroth-Carnaïm,1
Zusim,1
Ham,1
Emim,3
Cariathaïm,6
Horréens,4
Séir,16
El-Pharan,1
désert,345
retournant,8
fontaine,5
jugement,123
Cadès,19
Amalécites,10
habitaient,54
Asason-Thamar,2
rangèrent,11
bataille,69
Amraphel,1
Arioch,1
puits,46
fuite,43
tombèrent,37
reste,288
s'enfuit,40
vainqueurs,6
enlevèrent,9
vivres,25
demeurait,13
fugitifs,10
l'annoncer,10
l'Hébreu,1
l'Amorrhéen,10
d'Eschol,1
d'Auer,1
alliés,3
Dès,57
qu'Abram,2
emmené,22
captif,18
mieux,67
éprouvés,12
nés,15
nombre,282
dix-huit,21
poursuivit,22
Dan,68
partagé,6
troupe,68
attaquer,15
battit,48
Hoba,1
Damas,59
ramena,17
revenait,15
vainqueur,9
rencontre,88
Savé,1
Roi,36
Melchisédech,12
Salem,5
apporta,23
prêtre,476
Très-Haut,39
livré,92
ennemis,263
dîme,37
Donne-moi,16
personnes,71
biens.,1
levé,81
D'un,6
fil,35
courroie,4
sandale,4
quoi,127
t'appartienne,1
dises,8
enrichi,4
Rien,10
qu'ont,14
jeunes,125
part,279
Aner,2
Eschol,1
prendront,28
part.,1
événements,9
adressée,104
vision,44
Ne,407
crains,76
bouclier,54
récompense,34
grande.,1
Seigneur,1061
donnerez-vous,2
m'en,62
l'héritier,6
Eliézer,12
Damas.,1
m'avez,83
attaché,23
héritier.,2
termes,159
héritier,5
sortira,62
entrailles,86
conduit,27
regard,28
Telle,41
foi,273
imputa,1
justice,430
donner,158
posséder.,1
connaîtrai-je,3
posséderai,1
Prends,68
génisse,12
chèvre,21
bélier,81
tourterelle,5
pigeon.,1
amena,19
partagés,4
moitié,65
vis-à-vis,60
partagea,6
proie,56
s'abattirent,1
cadavres,43
soleil,167
couchait,3
terreur,56
obscurité,5
profonde,21
Sache,10
descendants,55
étrangers,91
servitude,37
opprimera,2
jugerai,14
auront,60
asservis,8
sortiront,21
Toi,61
t'en,47
iras,31
paix,269
pères,411
heureuse,10
vieillesse,17
reviendront,22
ici,178
présent,103
l'iniquité,111
comble.,1
couché,55
qu'une,67
qu'un,174
four,11
fumant,1
brandon,1
feu,509
passaient,6
En,341
d'Egypte,286
Cinéens,7
Cénézéens,1
Cadmonéens,1
Héthéens,23
Phéréséens,2
Rephaïm,14
servante,92
égyptienne,1
nommée,24
Agar,12
rendue,9
viens,82
peut-être,30
aurai-je,1
fils.,13
écouta,12
l'Egyptienne,2
habité,18
conçu,18
maîtresse,7
mépris,18
L'outrage,1
m'est,31
tombe,66
sein,145
regardée,2
juge,91
puissance,162
agis,11
semblera,14
maltraita,3
L'ange,32
source,47
d'eau,91
Sur,79
viens-tu,8
vas-tu,7
fuis,6
maîtresse.,1
Retourne,12
humilie-toi,1
main.,3
ajouta,38
pourra,58
nombreuse.,1
enceinte,19
d'Ismaël,12
affliction,11
âne,31
sauvage,16
habitera,19
frères.,3
parlé,178
Atta-El-Roï,1
Ai-je,5
voyait,26
appelé,112
Lachaï-Roï,2
situé,1
Barad,1
qu'Agar,1
monde,269
quatre-vingt-six,2
lorsqu'Agar,1
Ismaël,31
l'âge,26
quatre-vingt-dix-neuf,6
tout-puissant,14
irréprochable,9
l'infini.,1
Moi,95
deviendras,3
On,335
nommera,6
Abraham,170
croître,18
extraordinairement,2
d'âge,24
âge,73
perpétuelle,42
séjournes,3
étranger,67
possession,101
garderas,8
circoncis,36
circoncirez,1
ou,649
prix,82
d'argent,171
d'un,567
quelconque,16
devra,5
circoncire,11
incirconcis,41
n'aura,27
retranché,29
violé,8
alliance.,1
Sara,47
d'elle.,2
rit,11
Naîtra-t-il,1
enfantera-t-elle,1
Oh,23
qu,55
',20
vive,43
Oui,104
t'enfantera,2
nommeras,1
Isaac,96
Quant,71
béni,57
fécond,5
engendrera,1
princes,185
l'établirai,2
l'année,48
prochaine,3
époque.,1
parler,157
d'Abraham,70
circoncit,9
commandé,48
lorsqu'il,136
treize,13
qu'Ismaël,6
chez,335
assis,160
l'entrée,139
chaleur,20
tenaient,47
debout,68
courut,28
au-devant,54
s'étant,123
prosterné,9
passe,68
Permettez,1
apporte,9
peu,160
laver,10
pieds,261
Reposez-vous,1
prendre,148
morceau,23
fortifierez,1
continuerez,1
passé,85
serviteur.,4
répondirent,99
Fais,47
l'as,32
s'empressa,2
revenir,41
Vite,2
mesures,16
farine,69
pétris,6
gâteaux.,1
veau,33
tendre,12
hâta,12
l'apprêter,1
beurre,3
lait,49
apprêté,1
tenait,71
mangèrent,38
tente.,1
reviendrai,13
époque,7
entendait,8
paroles,502
derrière,97
vieux,49
avancés,6
elle-même,28
Vieille,3
connaîtrais-je,1
plaisir,50
seigneur,165
vieux.,1
a-t-elle,5
ri,2
vraiment,28
j'aurais,15
enfant,71
vieille,3
Y,14
a-t-il,84
étonnant,3
fixé,27
saison,9
nia,8
n'ai,120
ri.,1
levèrent,39
tournèrent,7
allait,59
accompagner,2
Cacherai-je,1
doit,118
devenir,37
forte,89
choisi,90
effet,128
ordonne,8
pratiquant,4
l'équité,11
qu'ainsi,7
accomplisse,5
faveur,87
promesses,14
faites.,1
cri,69
s'élève,42
énorme,1
veux,137
descendre,67
venu,202
crime,64
comble,8
s'il,200
saurai.,1
s'approcha,33
feriez,4
périr,69
coupable,48
Peut-être,25
justes,107
feriez-vous,2
pardonnerez-vous,1
trouveraient,1
Loin,27
d'agir,10
mourir,180
serait,47
Celui,278
rendrait-il,1
pardonnerai,8
d'eux.,1
reprit,21
Voilà,78
osé,3
cendre,28
manquera,18
détruirez-vous,1
détruirai,24
quarante-cinq.,1
continua,9
trouvera-t-il,6
quarante.,1
veuille,10
s'irriter,3
parle,489
trente.,2
vingt.,1
pas.,3
parlerai,23
dix.,1
retourna,63
anges,85
