__token__,__occurence__
kóŋgó-ɓaa,11
nɛ̀ɛ́,360
ɗoŋ-wa,19
dɔ̧ɔ̧,289
Fom,29
dúk,672
sɔŋkur-wi,3
wi-de-tom,870
Zɔnamɔ,34
à̧,145
bara,291
há̧,219
kpaamɔ,77
350,1
950,1
nɔ'ɔ,537
Gɔmɛr,9
Magɔg,5
Madai,3
Yavaŋ,4
Tubal,7
Mɛsɛk,8
Tiras,2
Askenaz,3
Rifat,1
Togarma,1
Elisa,2
Tarsis,25
Kitim,5
Rodanim,2
dukbíí,994
gbina-a,10
sitɛ,578
see-kisi,30
nú-gara,308
Misraim,4
Put,6
Seba,27
Sabta,2
Rama,37
Sabteka,2
Dedaŋ,8
Nɛmrod,5
ŋgaŋa,53
wi-de-gia,4
tua-wen,30
Babɛl,2
Ɛrɛk,1
Akad,1
Sinɛar,7
kura,447
Ninivɛ,21
bee-gara,118
sɛka,312
Kala,2
Rɛsɛn,1
Lud,8
Anɛm,2
Lehab,1
Naftua,2
Patros,6
Kaftɔr,4
Kaslua,2
Filistii,285
Sidɔŋ,48
kaya-bem,89
Hɛt,12
Jebus,45
Amɔr,86
Girgas,7
Hiv,26
Ark,8
Sin,16
Arvad,3
Sɛmar,2
Hamat,29
Hɔ-ɗoŋ,19
Gerar,10
Gaza,22
Sɔdɔm,49
Gɔmɔr,23
Adma,5
Seboyim,5
Lɛsa,1
nutua,467
zɔmwi,43
Ebɛr,18
Elam,32
Arpaksad,9
Aram,153
Us,8
Hul,2
Gɛtɛr,1
Mas,1
Sela,18
kaya-a,16
Pɛlɛg,7
Yoktaŋ,5
Almɔdad,2
Selɛf,1
Hasarmavɛt,2
Yera,2
Hadɔram,4
Uzal,3
Dikla,2
Obal,1
Abimaɛl,1
Saba,13
Ofir,12
Yobab,7
Mɛsa,4
Sefar,1
Kɛ̧ɛ̧,7
tugun,413
nù'ɛ,211
bɔkɔ-nu,9
mbɛ́r,18
brik,9
ɛ̀ɛ̀,467
dɔ.,1
Brik,1
ɓɔtɛ,18
mbó,74
dùk,27
pɛsi,177
de'i,78
dor,102
laŋ,7
zír,33
záŋ,7
nú-wen,15
tɛ́ɛ̀,211
zii,778
pɛsa,127
fara'i'e,17
zaŋa,26
gɔmŋmaa,102
gɔmŋmaa-mɔɔrɔ,15
ɓu-taar-zua-mɔɔrɔ,8
403,2
ɓu-taar,65
ɓu-taar-zua-naar,1
430,2
Rɛhu,4
29,1
ɓu-taar-zua-yiitoo,10
Serug,5
207,1
Nahɔr,18
200,2
ɓu-yiitoo-zua-mɔɔrɔ-ɗoŋ-naar,7
Tɛra,9
119,1
ɓu-mɔɔrɔ-ɗoŋ-yiitoo,36
Abram,67
Haraŋ,21
Lot,40
nam,42
Ur,5
Kaldee,69
Sarai,18
Milka,12
Yiska,1
ko-yar-ndɔra,7
mgbɔɔ,178
koo-aa,1
for-aa,13
nɛa-a,39
205,1
usi,708
nin-mɛ,19
75,1
ɓira,81
Sikɛm,68
Mɔre,3
usa,374
bezaŋ-mɛ.,1
Bɛtɛl,70
yee-wese,119
Ai,40
kɔfi,122
Nɛgɛb,40
Gasa,679
kaɓa,87
zir,170
Egiptɛ,900
tikiɗi,195
kaɓa'i,5
hɛɗa,143
ai,248
tɔ̧́,498
boko-nya,33
gasawi,748
wannu,2201
nyɛrɛ,182
déè,101
ndai,295
sami,342
tuifuu,134
kó-de-tom,92
nana,45
ŋgeloba,57
nyimmɔ,25
Wannu,388
m'e,82
boko-nya-mɛ,12
yák,84
hɛ̧ɛ̧,280
Abraham,266
yaka,321
bu-mbɔi,269
ɔɔ,381
yuwar,934
gbagari,159
kɔfa,62
mbɔi,304
kpɛri,37
wi-dai-mɔ-dai,12
Periz,23
mɛ'ɛ,49
kɛ̧́,37
gale,74
wiiko,105
zika-nú,7
Jurdɛn,200
Nɛti,46
fara'i,313
Sɔar,9
hoka,256
bɔkɔ-nú,29
ká̧,670
zika-nu'i,1
wi-ɗaŋ,267
wi-de-ɗaŋmɔ,71
yí-mɛ,48
zɔ́k,324
ká̧-zan-mɛ́-ŋgɔn,134
ká̧-zan-mɛ́-ɗɔɔ,81
Nù'ɛ,5
tɔr,158
yár,11
zi̧a̧,11
Mambre,10
Hebrɔŋ,74
Amrafɛl,2
Ariɔk,2
Elasar,2
Kedɔr-Laomɛr,5
Tideal,2
Goyim,3
bi,428
Bera,1
Birsa,1
Sɛmɛbɛr,1
Bɛla,15
ɛ̧ɛ̧,75
mɔɔrɔ'ɛ,2
ɗɔŋgɔ,115
Sidim,4
Tɔŋ,21
ɓu-zua-yiitoo,167
ɓu-zua-taar,13
ŋgazu,217
ɓu-zua-naar,37
yor,431
Refaim,20
